Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter,GNSS_fix_quality
1665805155.113677,0,13155,0,GPS1_Frame,42.36349716666667,-71.06430350000001,11.899999618530273,330012.2682269716,4692200.083248318,19.0,T,4.0
1665805156.1063116,0,13156,0,GPS1_Frame,42.36349716666667,-71.06430350000001,11.899999618530273,330012.2682269716,4692200.083248318,19.0,T,4.0
1665805157.120647,0,13157,0,GPS1_Frame,42.36349716666667,-71.06430350000001,11.899999618530273,330012.2682269716,4692200.083248318,19.0,T,4.0
1665805158.1115716,0,13158,0,GPS1_Frame,42.36349716666667,-71.06430333333333,11.899999618530273,330012.28195190825,4692200.082914967,19.0,T,4.0
1665805159.1217048,0,13159,0,GPS1_Frame,42.36349716666667,-71.06430333333333,11.899999618530273,330012.28195190825,4692200.082914967,19.0,T,4.0
1665805160.0947106,0,13160,0,GPS1_Frame,42.36349716666667,-71.06430333333333,11.899999618530273,330012.28195190825,4692200.082914967,19.0,T,4.0
1665805161.132697,0,13161,0,GPS1_Frame,42.36349716666667,-71.06430350000001,11.899999618530273,330012.2682269716,4692200.083248318,19.0,T,4.0
1665805162.0974498,0,13162,0,GPS1_Frame,42.36349716666667,-71.06430350000001,11.899999618530273,330012.2682269716,4692200.083248318,19.0,T,4.0
1665805163.1135585,0,13163,0,GPS1_Frame,42.36349716666667,-71.06430333333333,11.899999618530273,330012.28195190825,4692200.082914967,19.0,T,4.0
1665805164.0876293,0,13164,0,GPS1_Frame,42.36349716666667,-71.06430333333333,11.899999618530273,330012.28195190825,4692200.082914967,19.0,T,4.0
1665805165.121661,0,13165,0,GPS1_Frame,42.36349716666667,-71.06430333333333,11.899999618530273,330012.28195190825,4692200.082914967,19.0,T,4.0
1665805166.100259,0,13166,0,GPS1_Frame,42.36349716666667,-71.06430333333333,11.899999618530273,330012.28195190825,4692200.082914967,19.0,T,4.0
1665805167.1140788,0,13167,0,GPS1_Frame,42.36349716666667,-71.06430333333333,11.899999618530273,330012.28195190825,4692200.082914967,19.0,T,4.0
1665805168.0954273,0,13168,0,GPS1_Frame,42.36349716666667,-71.06430333333333,11.899999618530273,330012.28195190825,4692200.082914967,19.0,T,4.0
1665805169.1100068,0,13169,0,GPS1_Frame,42.36349700000001,-71.06430350000001,11.899999618530273,330012.2677774712,4692200.064741207,19.0,T,4.0
1665805170.0906372,0,13170,0,GPS1_Frame,42.36349716666667,-71.06430350000001,11.899999618530273,330012.2682269716,4692200.083248318,19.0,T,4.0
1665805171.1159313,0,13171,0,GPS1_Frame,42.36349716666667,-71.06430350000001,12.0,330012.2682269716,4692200.083248318,19.0,T,4.0
1665805172.0926964,0,13172,0,GPS1_Frame,42.36349716666667,-71.06430350000001,11.899999618530273,330012.2682269716,4692200.083248318,19.0,T,4.0
1665805173.1140442,0,13173,0,GPS1_Frame,42.36349716666667,-71.06430350000001,11.899999618530273,330012.2682269716,4692200.083248318,19.0,T,4.0
1665805174.096711,0,13174,0,GPS1_Frame,42.36349716666667,-71.06430350000001,11.899999618530273,330012.2682269716,4692200.083248318,19.0,T,4.0
1665805175.1081169,0,13175,0,GPS1_Frame,42.36349716666667,-71.06430350000001,11.899999618530273,330012.2682269716,4692200.083248318,19.0,T,4.0
1665805176.0889516,0,13176,0,GPS1_Frame,42.36349716666667,-71.06430350000001,11.899999618530273,330012.2682269716,4692200.083248318,19.0,T,4.0
1665805177.1133826,0,13177,0,GPS1_Frame,42.36349716666667,-71.06430350000001,11.899999618530273,330012.2682269716,4692200.083248318,19.0,T,4.0
1665805178.0898738,0,13178,0,GPS1_Frame,42.36349716666667,-71.06430350000001,11.899999618530273,330012.2682269716,4692200.083248318,19.0,T,4.0
1665805179.1038706,0,13179,0,GPS1_Frame,42.36349716666667,-71.06430350000001,11.899999618530273,330012.2682269716,4692200.083248318,19.0,T,4.0
